date,time,country,country_code,opposing_country,spi,opposing_spi,spi_offense,opposing_spi_offense,spi_defense,opposing_spi_defense,sixteen,win
22-Jun,9:30,Colombia,COL,URU,87.48,81.49,2.4192,2.2409,0.4511,0.8485,1,1
22-Jun,9:30,Costa Rica,CRC,GRE,78.52,74.14,1.5889,1.1789,0.6109,0.5861,1,1
22-Jun,9:30,France,FRA,NGA,87.81,76.01,2.7464,1.5294,0.6204,0.7335,1,1
22-Jun,9:30,Germany,GER,ALG,88.69,64.24,3.1804,1.1759,0.7879,1.1673,0.977,0
22-Jun,9:30,Greece,GRE,CRC,74.14,78.52,1.1789,1.5889,0.5861,0.6109,0.2097,0
22-Jun,9:30,Mexico,MEX,NED,78.43,86.19,1.4776,2.7961,0.5368,0.8076,0.617,0
22-Jun,9:30,Netherlands,NED,MEX,86.19,78.43,2.7961,1.4776,0.8076,0.5368,1,1
22-Jun,9:30,Nigeria,NGA,FRA,76.01,87.81,1.5294,2.7464,0.7335,0.6204,0.8776,0
22-Jun,9:30,Switzerland,SUI,ARG,78.26,89.66,2.1701,2.7413,1.0416,0.4218,0.6069,0
22-Jun,9:30,Uruguay,URU,COL,81.49,87.48,2.2409,2.4192,0.8485,0.4511,0.4044,0
22-Jun,9:30,USA,USA,BEL,78.67,81.79,2.1221,2.1428,0.9784,0.759,0.6475,0
22-Jun,18:00,Algeria,ALG,GER,64.24,88.69,1.1759,3.1804,1.1673,0.7879,0.1874,1
22-Jun,18:00,Argentina,ARG,SUI,89.66,78.26,2.7413,2.1701,0.4218,1.0416,1,1
22-Jun,18:00,Belgium,BEL,USA,81.79,78.67,2.1428,2.1221,0.759,0.9784,1,1
22-Jun,18:00,Brazil,BRA,CHI,91.07,87.77,3.186,2.7354,0.5158,0.6178,0.9939,1
22-Jun,18:00,Chile,CHI,BRA,87.77,91.07,2.7354,3.186,0.6178,0.5158,1,0
22-Jun,18:00,Colombia,COL,URU,87.48,81.49,2.4192,2.2409,0.4511,0.8485,1,1
22-Jun,18:00,Costa Rica,CRC,GRE,78.52,74.14,1.5889,1.1789,0.6109,0.5861,1,1
22-Jun,18:00,France,FRA,NGA,87.81,76.01,2.7464,1.5294,0.6204,0.7335,0.9998,1
22-Jun,18:00,Germany,GER,ALG,88.69,64.24,3.1804,1.1759,0.7879,1.1673,0.9782,0
22-Jun,18:00,Greece,GRE,CRC,74.14,78.52,1.1789,1.5889,0.5861,0.6109,0.2202,0
22-Jun,18:00,Mexico,MEX,NED,78.43,86.19,1.4776,2.7961,0.5368,0.8076,0.6112,0
22-Jun,18:00,Netherlands,NED,MEX,86.19,78.43,2.7961,1.4776,0.8076,0.5368,1,1
22-Jun,18:00,Nigeria,NGA,FRA,76.01,87.81,1.5294,2.7464,0.7335,0.6204,0.8739,0
22-Jun,18:00,Switzerland,SUI,ARG,78.26,89.66,2.1701,2.7413,1.0416,0.4218,0.61,0
22-Jun,18:00,Uruguay,URU,COL,81.49,87.48,2.2409,2.4192,0.8485,0.4511,0.4165,0
22-Jun,18:00,USA,USA,BEL,78.67,81.79,2.1221,2.1428,0.9784,0.759,0.6406,0
22-Jun,21:00,Algeria,ALG,GER,64.24,88.69,1.1759,3.1804,1.1673,0.7879,0.464,1
22-Jun,21:00,Argentina,ARG,SUI,89.66,78.26,2.7413,2.1701,0.4218,1.0416,1,1
22-Jun,21:00,Belgium,BEL,USA,81.79,78.67,2.1428,2.1221,0.759,0.9784,1,1
22-Jun,21:00,Brazil,BRA,CHI,91.07,87.77,3.186,2.7354,0.5158,0.6178,0.9942,1
22-Jun,21:00,Chile,CHI,BRA,87.77,91.07,2.7354,3.186,0.6178,0.5158,1,0
22-Jun,21:00,Colombia,COL,URU,87.48,81.49,2.4192,2.2409,0.4511,0.8485,1,1
22-Jun,21:00,Costa Rica,CRC,GRE,78.52,74.14,1.5889,1.1789,0.6109,0.5861,1,1
22-Jun,21:00,France,FRA,NGA,87.81,76.01,2.7464,1.5294,0.6204,0.7335,0.9999,1
22-Jun,21:00,Germany,GER,ALG,88.69,64.24,3.1804,1.1759,0.7879,1.1673,0.9781,0
22-Jun,21:00,Greece,GRE,CRC,74.14,78.52,1.1789,1.5889,0.5861,0.6109,0.2137,0
22-Jun,21:00,Mexico,MEX,NED,78.43,86.19,1.4776,2.7961,0.5368,0.8076,0.6128,0
22-Jun,21:00,Netherlands,NED,MEX,86.19,78.43,2.7961,1.4776,0.8076,0.5368,1,1
22-Jun,21:00,Nigeria,NGA,FRA,76.01,87.81,1.5294,2.7464,0.7335,0.6204,0.8718,0
22-Jun,21:00,Switzerland,SUI,ARG,78.26,89.66,2.1701,2.7413,1.0416,0.4218,0.6017,0
22-Jun,21:00,Uruguay,URU,COL,81.49,87.48,2.2409,2.4192,0.8485,0.4511,0.4061,0
22-Jun,21:00,USA,USA,BEL,78.67,81.79,2.1221,2.1428,0.9784,0.759,0.6389,0
23-Jun,0:00,Algeria,ALG,GER,64.24,88.69,1.1759,3.1804,1.1673,0.7879,0.4605,1
23-Jun,0:00,Argentina,ARG,SUI,89.66,78.26,2.7413,2.1701,0.4218,1.0416,1,1
23-Jun,0:00,Belgium,BEL,USA,81.79,78.67,2.1428,2.1221,0.759,0.9784,1,1
23-Jun,0:00,Brazil,BRA,CHI,91.07,87.77,3.186,2.7354,0.5158,0.6178,0.995,1
23-Jun,0:00,Chile,CHI,BRA,87.77,91.07,2.7354,3.186,0.6178,0.5158,1,0
23-Jun,0:00,Colombia,COL,URU,87.48,81.49,2.4192,2.2409,0.4511,0.8485,1,1
23-Jun,0:00,Costa Rica,CRC,GRE,78.52,74.14,1.5889,1.1789,0.6109,0.5861,1,1
23-Jun,0:00,France,FRA,NGA,87.81,76.01,2.7464,1.5294,0.6204,0.7335,0.9999,1
23-Jun,0:00,Germany,GER,ALG,88.69,64.24,3.1804,1.1759,0.7879,1.1673,0.9971,0
23-Jun,0:00,Greece,GRE,CRC,74.14,78.52,1.1789,1.5889,0.5861,0.6109,0.2069,0
23-Jun,0:00,Mexico,MEX,NED,78.43,86.19,1.4776,2.7961,0.5368,0.8076,0.6141,0
23-Jun,0:00,Netherlands,NED,MEX,86.19,78.43,2.7961,1.4776,0.8076,0.5368,1,1
23-Jun,0:00,Nigeria,NGA,FRA,76.01,87.81,1.5294,2.7464,0.7335,0.6204,0.8721,0
23-Jun,0:00,Switzerland,SUI,ARG,78.26,89.66,2.1701,2.7413,1.0416,0.4218,0.599,0
23-Jun,0:00,Uruguay,URU,COL,81.49,87.48,2.2409,2.4192,0.8485,0.4511,0.415,0
23-Jun,0:00,USA,USA,BEL,78.67,81.79,2.1221,2.1428,0.9784,0.759,0.7577,0
23-Jun,9:45,Algeria,ALG,GER,74.28,88.74,2.0432,3.1773,1.2319,0.7828,0.6334,1
23-Jun,9:45,Argentina,ARG,SUI,89.64,78.16,2.7388,2.1622,0.425,1.0454,1,1
23-Jun,9:45,Belgium,BEL,USA,83.29,78.74,2.1563,2.1609,0.6524,1.0022,1,1
23-Jun,9:45,Brazil,BRA,CHI,91.1,87.76,3.1656,2.7339,0.5023,0.6197,0.9933,1
23-Jun,9:45,Chile,CHI,BRA,87.76,91.1,2.7339,3.1656,0.6197,0.5023,1,0
23-Jun,9:45,Colombia,COL,URU,87.41,81.47,2.4118,2.2401,0.4555,0.8513,1,1
23-Jun,9:45,Costa Rica,CRC,GRE,78.47,72.85,1.5821,1.1093,0.6114,0.6108,1,1
23-Jun,9:45,France,FRA,NGA,87.8,76.09,2.7457,1.5318,0.6228,0.732,0.9999,1
23-Jun,9:45,Germany,GER,ALG,88.74,74.28,3.1773,2.0432,0.7828,1.2319,0.9972,0
23-Jun,9:45,Greece,GRE,CRC,72.85,78.47,1.1093,1.5821,0.6108,0.6114,0.1949,0
23-Jun,9:45,Mexico,MEX,NED,78.39,86.2,1.4714,2.7928,0.5366,0.8062,0.6102,0
23-Jun,9:45,Netherlands,NED,MEX,86.2,78.39,2.7928,1.4714,0.8062,0.5366,1,1
23-Jun,9:45,Nigeria,NGA,FRA,76.09,87.8,1.5318,2.7457,0.732,0.6228,0.8715,0
23-Jun,9:45,Switzerland,SUI,ARG,78.16,89.64,2.1622,2.7388,1.0454,0.425,0.6088,0
23-Jun,9:45,Uruguay,URU,COL,81.47,87.41,2.2401,2.4118,0.8513,0.4555,0.4227,0
23-Jun,9:45,USA,USA,BEL,78.74,83.29,2.1609,2.1563,1.0022,0.6524,0.7566,0
23-Jun,18:00,Algeria,ALG,GER,74.28,88.74,2.0432,3.1773,1.2319,0.7828,0.6347,1
23-Jun,18:00,Argentina,ARG,SUI,89.64,78.16,2.7388,2.1622,0.425,1.0454,1,1
23-Jun,18:00,Belgium,BEL,USA,83.29,78.74,2.1563,2.1609,0.6524,1.0022,1,1
23-Jun,18:00,Brazil,BRA,CHI,91.1,87.76,3.1656,2.7339,0.5023,0.6197,0.9949,1
23-Jun,18:00,Chile,CHI,BRA,87.76,91.1,2.7339,3.1656,0.6197,0.5023,1,0
23-Jun,18:00,Colombia,COL,URU,87.41,81.47,2.4118,2.2401,0.4555,0.8513,1,1
23-Jun,18:00,Costa Rica,CRC,GRE,78.47,72.85,1.5821,1.1093,0.6114,0.6108,1,1
23-Jun,18:00,France,FRA,NGA,87.8,76.09,2.7457,1.5318,0.6228,0.732,0.9998,1
23-Jun,18:00,Germany,GER,ALG,88.74,74.28,3.1773,2.0432,0.7828,1.2319,0.9971,0
23-Jun,18:00,Greece,GRE,CRC,72.85,78.47,1.1093,1.5821,0.6108,0.6114,0.2004,0
23-Jun,18:00,Mexico,MEX,NED,78.39,86.2,1.4714,2.7928,0.5366,0.8062,0.6132,0
23-Jun,18:00,Netherlands,NED,MEX,86.2,78.39,2.7928,1.4714,0.8062,0.5366,1,1
23-Jun,18:00,Nigeria,NGA,FRA,76.09,87.8,1.5318,2.7457,0.732,0.6228,0.8789,0
23-Jun,18:00,Switzerland,SUI,ARG,78.16,89.64,2.1622,2.7388,1.0454,0.425,0.6033,0
23-Jun,18:00,Uruguay,URU,COL,81.47,87.41,2.2401,2.4118,0.8513,0.4555,0.4043,0
23-Jun,18:00,USA,USA,BEL,78.74,83.29,2.1609,2.1563,1.0022,0.6524,0.7549,0
23-Jun,22:00,Algeria,ALG,GER,74.28,88.74,2.0432,3.1773,1.2319,0.7828,0.6377,1
23-Jun,22:00,Argentina,ARG,SUI,89.64,78.16,2.7388,2.1622,0.425,1.0454,1,1
23-Jun,22:00,Belgium,BEL,USA,83.29,78.74,2.1563,2.1609,0.6524,1.0022,1,1
23-Jun,22:00,Brazil,BRA,CHI,91.1,87.76,3.1656,2.7339,0.5023,0.6197,1,1
23-Jun,22:00,Chile,CHI,BRA,87.76,91.1,2.7339,3.1656,0.6197,0.5023,1,0
23-Jun,22:00,Colombia,COL,URU,87.41,81.47,2.4118,2.2401,0.4555,0.8513,1,1
23-Jun,22:00,Costa Rica,CRC,GRE,78.47,72.85,1.5821,1.1093,0.6114,0.6108,1,1
23-Jun,22:00,France,FRA,NGA,87.8,76.09,2.7457,1.5318,0.6228,0.732,0.9999,1
23-Jun,22:00,Germany,GER,ALG,88.74,74.28,3.1773,2.0432,0.7828,1.2319,0.9972,0
23-Jun,22:00,Greece,GRE,CRC,72.85,78.47,1.1093,1.5821,0.6108,0.6114,0.1934,0
23-Jun,22:00,Mexico,MEX,NED,78.39,86.2,1.4714,2.7928,0.5366,0.8062,1,0
23-Jun,22:00,Netherlands,NED,MEX,86.2,78.39,2.7928,1.4714,0.8062,0.5366,1,1
23-Jun,22:00,Nigeria,NGA,FRA,76.09,87.8,1.5318,2.7457,0.732,0.6228,0.8752,0
23-Jun,22:00,Switzerland,SUI,ARG,78.16,89.64,2.1622,2.7388,1.0454,0.425,0.6086,0
23-Jun,22:00,Uruguay,URU,COL,81.47,87.41,2.2401,2.4118,0.8513,0.4555,0.4104,0
23-Jun,22:00,USA,USA,BEL,78.74,83.29,2.1609,2.1563,1.0022,0.6524,0.747,0
24-Jun,1:00,Algeria,ALG,GER,74.33,88.63,2.0422,3.1647,1.2336,0.7912,0.6401,1
24-Jun,1:00,Argentina,ARG,SUI,89.63,78.08,2.7355,2.1497,0.4271,1.0474,1,1
24-Jun,1:00,Belgium,BEL,USA,83.24,78.85,2.148,2.1611,0.6549,0.9996,1,1
24-Jun,1:00,Brazil,BRA,CHI,91.3,86.51,3.2355,2.5638,0.5203,0.6397,1,1
24-Jun,1:00,Chile,CHI,BRA,86.51,91.3,2.5638,3.2355,0.6397,0.5203,1,0
24-Jun,1:00,Colombia,COL,URU,87.38,81.49,2.4055,2.2369,0.4584,0.8522,1,1
24-Jun,1:00,Costa Rica,CRC,GRE,78.53,72.83,1.5816,1.1075,0.6108,0.6136,1,1
24-Jun,1:00,France,FRA,NGA,87.82,76.19,2.7444,1.5304,0.6244,0.7288,0.9998,1
24-Jun,1:00,Germany,GER,ALG,88.63,74.33,3.1647,2.0422,0.7912,1.2336,0.9971,0
24-Jun,1:00,Greece,GRE,CRC,72.83,78.53,1.1075,1.5816,0.6136,0.6108,0.1981,0
24-Jun,1:00,Mexico,MEX,NED,80.23,87.42,1.6356,2.812,0.5319,0.7052,1,0
24-Jun,1:00,Netherlands,NED,MEX,87.42,80.23,2.812,1.6356,0.7052,0.5319,1,1
24-Jun,1:00,Nigeria,NGA,FRA,76.19,87.82,1.5304,2.7444,0.7288,0.6244,0.8763,0
24-Jun,1:00,Switzerland,SUI,ARG,78.08,89.63,2.1497,2.7355,1.0474,0.4271,0.6068,0
24-Jun,1:00,Uruguay,URU,COL,81.49,87.38,2.2369,2.4055,0.8522,0.4584,0.4224,0
24-Jun,1:00,USA,USA,BEL,78.85,83.24,2.1611,2.148,0.9996,0.6549,0.7572,0
24-Jun,18:00,Algeria,ALG,GER,74.33,88.63,2.0422,3.1647,1.2336,0.7912,0.6351,1
24-Jun,18:00,Argentina,ARG,SUI,89.63,78.08,2.7355,2.1497,0.4271,1.0474,1,1
24-Jun,18:00,Belgium,BEL,USA,83.24,78.85,2.148,2.1611,0.6549,0.9996,1,1
24-Jun,18:00,Brazil,BRA,CHI,91.3,86.51,3.2355,2.5638,0.5203,0.6397,1,1
24-Jun,18:00,Chile,CHI,BRA,86.51,91.3,2.5638,3.2355,0.6397,0.5203,1,0
24-Jun,18:00,Colombia,COL,URU,87.38,81.49,2.4055,2.2369,0.4584,0.8522,1,1
24-Jun,18:00,Costa Rica,CRC,GRE,78.53,72.83,1.5816,1.1075,0.6108,0.6136,1,1
24-Jun,18:00,France,FRA,NGA,87.82,76.19,2.7444,1.5304,0.6244,0.7288,1,1
24-Jun,18:00,Germany,GER,ALG,88.63,74.33,3.1647,2.0422,0.7912,1.2336,0.9973,0
24-Jun,18:00,Greece,GRE,CRC,72.83,78.53,1.1075,1.5816,0.6136,0.6108,0.1951,0
24-Jun,18:00,Mexico,MEX,NED,80.23,87.42,1.6356,2.812,0.5319,0.7052,1,0
24-Jun,18:00,Netherlands,NED,MEX,87.42,80.23,2.812,1.6356,0.7052,0.5319,1,1
24-Jun,18:00,Nigeria,NGA,FRA,76.19,87.82,1.5304,2.7444,0.7288,0.6244,0.874,0
24-Jun,18:00,Switzerland,SUI,ARG,78.08,89.63,2.1497,2.7355,1.0474,0.4271,0.603,0
24-Jun,18:00,Uruguay,URU,COL,81.49,87.38,2.2369,2.4055,0.8522,0.4584,1,0
24-Jun,18:00,USA,USA,BEL,78.85,83.24,2.1611,2.148,0.9996,0.6549,0.7668,0
25-Jun,9:30,Algeria,ALG,GER,74.32,88.62,2.0416,3.1686,1.2344,0.7927,0.6224,1
25-Jun,9:30,Argentina,ARG,SUI,89.65,78.11,2.7396,2.1503,0.4256,1.0465,1,1
25-Jun,9:30,Belgium,BEL,USA,83.12,78.85,2.134,2.1632,0.6552,1.0015,1,1
25-Jun,9:30,Brazil,BRA,CHI,91.27,86.6,3.2346,2.5703,0.521,0.6345,1,1
25-Jun,9:30,Chile,CHI,BRA,86.6,91.27,2.5703,3.2346,0.6345,0.521,1,0
25-Jun,9:30,Colombia,COL,URU,88.18,82.21,2.5068,2.209,0.4405,0.7769,1,1
25-Jun,9:30,Costa Rica,CRC,GRE,78.59,74.37,1.5038,1.1835,0.5506,0.5811,1,1
25-Jun,9:30,France,FRA,NGA,87.8,76.16,2.744,1.5231,0.6238,0.7259,0.9998,1
25-Jun,9:30,Germany,GER,ALG,88.62,74.32,3.1686,2.0416,0.7927,1.2344,0.997,0
25-Jun,9:30,Greece,GRE,CRC,74.37,78.59,1.1835,1.5038,0.5811,0.5506,1,0
25-Jun,9:30,Mexico,MEX,NED,80.16,87.4,1.6322,2.8013,0.534,0.6993,1,0
25-Jun,9:30,Netherlands,NED,MEX,87.4,80.16,2.8013,1.6322,0.6993,0.534,1,1
25-Jun,9:30,Nigeria,NGA,FRA,76.16,87.8,1.5231,2.744,0.7259,0.6238,0.8772,0
25-Jun,9:30,Switzerland,SUI,ARG,78.11,89.65,2.1503,2.7396,1.0465,0.4256,0.5963,0
25-Jun,9:30,Uruguay,URU,COL,82.21,88.18,2.209,2.5068,0.7769,0.4405,1,0
25-Jun,9:30,USA,USA,BEL,78.85,83.12,2.1632,2.134,1.0015,0.6552,0.7573,0
25-Jun,18:00,Algeria,ALG,GER,74.32,88.62,2.0416,3.1686,1.2344,0.7927,0.6281,1
25-Jun,18:00,Argentina,ARG,SUI,89.65,78.11,2.7396,2.1503,0.4256,1.0465,1,1
25-Jun,18:00,Belgium,BEL,USA,83.12,78.85,2.134,2.1632,0.6552,1.0015,1,1
25-Jun,18:00,Brazil,BRA,CHI,91.27,86.6,3.2346,2.5703,0.521,0.6345,1,1
25-Jun,18:00,Chile,CHI,BRA,86.6,91.27,2.5703,3.2346,0.6345,0.521,1,0
25-Jun,18:00,Colombia,COL,URU,88.18,82.21,2.5068,2.209,0.4405,0.7769,1,1
25-Jun,18:00,Costa Rica,CRC,GRE,78.59,74.37,1.5038,1.1835,0.5506,0.5811,1,1
25-Jun,18:00,France,FRA,NGA,87.8,76.16,2.744,1.5231,0.6238,0.7259,0.9996,1
25-Jun,18:00,Germany,GER,ALG,88.62,74.32,3.1686,2.0416,0.7927,1.2344,0.9972,0
25-Jun,18:00,Greece,GRE,CRC,74.37,78.59,1.1835,1.5038,0.5811,0.5506,1,0
25-Jun,18:00,Mexico,MEX,NED,80.16,87.4,1.6322,2.8013,0.534,0.6993,1,0
25-Jun,18:00,Netherlands,NED,MEX,87.4,80.16,2.8013,1.6322,0.6993,0.534,1,1
25-Jun,18:00,Nigeria,NGA,FRA,76.16,87.8,1.5231,2.744,0.7259,0.6238,1,0
25-Jun,18:00,Switzerland,SUI,ARG,78.11,89.65,2.1503,2.7396,1.0465,0.4256,0.5973,0
25-Jun,18:00,Uruguay,URU,COL,82.21,88.18,2.209,2.5068,0.7769,0.4405,1,0
25-Jun,18:00,USA,USA,BEL,78.85,83.12,2.1632,2.134,1.0015,0.6552,0.755,0
25-Jun,22:00,Algeria,ALG,GER,74.32,88.62,2.0416,3.1686,1.2344,0.7927,0.6362,1
25-Jun,22:00,Argentina,ARG,SUI,89.65,78.11,2.7396,2.1503,0.4256,1.0465,1,1
25-Jun,22:00,Belgium,BEL,USA,83.12,78.85,2.134,2.1632,0.6552,1.0015,1,1
25-Jun,22:00,Brazil,BRA,CHI,91.27,86.6,3.2346,2.5703,0.521,0.6345,1,1
25-Jun,22:00,Chile,CHI,BRA,86.6,91.27,2.5703,3.2346,0.6345,0.521,1,0
25-Jun,22:00,Colombia,COL,URU,88.18,82.21,2.5068,2.209,0.4405,0.7769,1,1
25-Jun,22:00,Costa Rica,CRC,GRE,78.59,74.37,1.5038,1.1835,0.5506,0.5811,1,1
25-Jun,22:00,France,FRA,NGA,87.8,76.16,2.744,1.5231,0.6238,0.7259,1,1
25-Jun,22:00,Germany,GER,ALG,88.62,74.32,3.1686,2.0416,0.7927,1.2344,0.9973,0
25-Jun,22:00,Greece,GRE,CRC,74.37,78.59,1.1835,1.5038,0.5811,0.5506,1,0
25-Jun,22:00,Mexico,MEX,NED,80.16,87.4,1.6322,2.8013,0.534,0.6993,1,0
25-Jun,22:00,Netherlands,NED,MEX,87.4,80.16,2.8013,1.6322,0.6993,0.534,1,1
25-Jun,22:00,Nigeria,NGA,FRA,76.16,87.8,1.5231,2.744,0.7259,0.6238,1,0
25-Jun,22:00,Switzerland,SUI,ARG,78.11,89.65,2.1503,2.7396,1.0465,0.4256,1,0
25-Jun,22:00,Uruguay,URU,COL,82.21,88.18,2.209,2.5068,0.7769,0.4405,1,0
25-Jun,22:00,USA,USA,BEL,78.85,83.12,2.1632,2.134,1.0015,0.6552,0.759,0
26-Jun,10:00,Algeria,ALG,GER,74.34,88.61,2.0441,3.1728,1.2336,0.793,0.634,1
26-Jun,10:00,Argentina,ARG,SUI,90.14,79.87,2.9531,2.2727,0.4932,0.9986,1,1
26-Jun,10:00,Belgium,BEL,USA,83.12,78.89,2.1376,2.1631,0.6547,0.9962,1,1
26-Jun,10:00,Brazil,BRA,CHI,91.24,86.58,3.2325,2.5767,0.5205,0.637,1,1
26-Jun,10:00,Chile,CHI,BRA,86.58,91.24,2.5767,3.2325,0.637,0.5205,1,0
26-Jun,10:00,Colombia,COL,URU,88.17,82.11,2.5118,2.1995,0.4427,0.7766,1,1
26-Jun,10:00,Costa Rica,CRC,GRE,78.46,74.48,1.4994,1.1804,0.5545,0.5712,1,1
26-Jun,10:00,France,FRA,NGA,87.68,77.2,2.6496,1.6936,0.5759,0.7807,1,1
26-Jun,10:00,Germany,GER,ALG,88.61,74.34,3.1728,2.0441,0.793,1.2336,0.9967,0
26-Jun,10:00,Greece,GRE,CRC,74.48,78.46,1.1804,1.4994,0.5712,0.5545,1,0
26-Jun,10:00,Mexico,MEX,NED,80.03,87.39,1.6198,2.809,0.5329,0.7022,1,0
26-Jun,10:00,Netherlands,NED,MEX,87.39,80.03,2.809,1.6198,0.7022,0.5329,1,1
26-Jun,10:00,Nigeria,NGA,FRA,77.2,87.68,1.6936,2.6496,0.7807,0.5759,1,0
26-Jun,10:00,Switzerland,SUI,ARG,79.87,90.14,2.2727,2.9531,0.9986,0.4932,1,0
26-Jun,10:00,Uruguay,URU,COL,82.11,88.17,2.1995,2.5118,0.7766,0.4427,1,0
26-Jun,10:00,USA,USA,BEL,78.89,83.12,2.1631,2.1376,0.9962,0.6547,0.7583,0
26-Jun,18:00,Algeria,ALG,GER,74.34,88.61,2.0441,3.1728,1.2336,0.793,0.6293,1
26-Jun,18:00,Argentina,ARG,SUI,90.14,79.87,2.9531,2.2727,0.4932,0.9986,1,1
26-Jun,18:00,Belgium,BEL,USA,83.12,78.89,2.1376,2.1631,0.6547,0.9962,1,1
26-Jun,18:00,Brazil,BRA,CHI,91.24,86.58,3.2325,2.5767,0.5205,0.637,1,1
26-Jun,18:00,Chile,CHI,BRA,86.58,91.24,2.5767,3.2325,0.637,0.5205,1,0
26-Jun,18:00,Colombia,COL,URU,88.17,82.11,2.5118,2.1995,0.4427,0.7766,1,1
26-Jun,18:00,Costa Rica,CRC,GRE,78.46,74.48,1.4994,1.1804,0.5545,0.5712,1,1
26-Jun,18:00,France,FRA,NGA,87.68,77.2,2.6496,1.6936,0.5759,0.7807,1,1
26-Jun,18:00,Germany,GER,ALG,88.61,74.34,3.1728,2.0441,0.793,1.2336,1,0
26-Jun,18:00,Greece,GRE,CRC,74.48,78.46,1.1804,1.4994,0.5712,0.5545,1,0
26-Jun,18:00,Mexico,MEX,NED,80.03,87.39,1.6198,2.809,0.5329,0.7022,1,0
26-Jun,18:00,Netherlands,NED,MEX,87.39,80.03,2.809,1.6198,0.7022,0.5329,1,1
26-Jun,18:00,Nigeria,NGA,FRA,77.2,87.68,1.6936,2.6496,0.7807,0.5759,1,0
